Gene_set,Term,Overlap,P-value,padj,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Negative Regulation Of Growth (GO:0045926),24/124,1.9226892293486565e-07,0.0005716919030248247,0,0,3.918884045335658,60.603076017358376,SMAD4;TGFB2;CDKN1A;PNPT1;TGFB1;BTG1;CDKN2C;MT1M;MT1X;OSGIN2;SIRT1;GJA1;MT2A;SFRP2;BCL6;FRZB;HYAL2;MT1F;MT1G;MSX1;HSPA1B;SIPA1;MT1E;HSPA1A
GO_Biological_Process_2023,Monoatomic Cation Transmembrane Transport (GO:0098655),39/281,4.802029847690615e-07,0.0005716919030248247,0,0,2.6461357065677658,38.49877905920506,KCNK9;KCNC3;KCNA1;SLC41A1;ATP1A3;TCIRG1;PKD1;SLC8A2;CACNA1G;TRPM2;TRPM7;ITGAV;SCN3B;ATP6V0E2;SCN1B;SLC39A3;KCNH3;KCNF1;ATP6V0E1;SLC6A17;SLC30A3;SLC6A13;SLC39A11;SLC6A12;SLC39A10;SLC30A1;GRIN1;SLC8A3;CACNB1;SLC4A8;SLC6A7;TRPV6;KCNS2;KCNQ5;ATP6V0D1;KCNK1;SCN4B;KCNK3;SCN2B
GO_Biological_Process_2023,Cellular Response To Transforming Growth Factor Beta Stimulus (GO:0071560),20/96,5.801281260147164e-07,0.0005716919030248247,0,0,4.287576020851434,61.569663908857166,SMAD4;TGFB2;TGFB1;ITGB5;PXN;SMAD9;LTBP2;SIRT1;SMAD5;TGFBR1;ZFP36L2;TGFBR2;ZFP36L1;TGFBR3;COL1A2;BAMBI;HYAL2;ID1;SOX5;BMPR1A
GO_Biological_Process_2023,Inorganic Cation Transmembrane Transport (GO:0098662),39/284,6.318783122683887e-07,0.0005716919030248247,0,0,2.613312179995673,37.30390504552397,KCNK9;KCNC3;KCNA1;SLC41A1;ATP1A3;TCIRG1;PKD1;CACNA1H;SLC8A2;CACNA1G;TRPM2;TRPM7;ITGAV;SCN3B;ATP6V0E2;SCN1B;SLC39A3;KCNH3;KCNF1;ATP6V0E1;SLC6A17;SLC30A3;SLC6A13;SLC39A11;SLC6A12;SLC39A10;SLC30A1;SLC8A3;CACNB1;SLC4A8;SLC6A7;TRPV6;KCNS2;KCNQ5;ATP6V0D1;KCNK1;SCN4B;KCNK3;SCN2B
GO_Biological_Process_2023,Positive Regulation Of Cell Differentiation (GO:0045597),38/283,1.5327756582128905e-06,0.0011094230214144,0,0,2.544056775402129,34.06092684332029,YAP1;FOXC1;CEBPB;BTG1;LAMA2;ASCL1;NID1;ZFP36L1;GJA1;RANBP3L;RAP1A;FRZB;GPC1;BOC;KDR;ARID2;CD34;SOX5;WWTR1;SMAD4;TGFB2;PRKCH;ZHX3;TGFB1;LAMB2;RARRES2;TGFBR1;TGFBR2;NELL1;PCP4;DAB2;SFRP2;RGCC;BAMBI;ARHGEF2;LCP1;RIN2;BMPR1A
GO_Biological_Process_2023,Synaptic Vesicle Exocytosis (GO:0016079),12/41,2.483190662458326e-06,0.0014940046775673,0,0,6.712088304424147,86.62598523970378,SYT5;SNAP25;SYT4;STX1B;RAB3A;PCLO;RIMS3;SYT2;SYT11;SNAP23;CPLX1;STX1A
GO_Biological_Process_2023,Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0007179),16/72,3.157138222756669e-06,0.0014940046775673,0,0,4.643908472479901,58.81902289302816,SMAD4;TGFB2;TGFB1;ITGB5;PXN;SMAD9;LTBP2;SIRT1;SMAD5;TGFBR1;TGFBR2;TGFBR3;COL1A2;BAMBI;ID1;BMPR1A
GO_Biological_Process_2023,Cellular Response To Metal Ion (GO:0071248),23/135,3.4853877350385627e-06,0.0014940046775673,0,0,3.3481442882030863,42.075899124034095,CPNE9;SYT5;SYT4;SYT2;CPNE5;CPNE4;CPNE7;KCNA1;MT1M;SLC41A1;MT1X;IQGAP1;ADCY1;CACNA1H;EGFR;ITPKB;MT2A;SYT11;MT1F;MT1G;CPNE3;ATP13A2;MT1E
GO_Biological_Process_2023,Cellular Response To Growth Factor Stimulus (GO:0071363),25/155,3.7154026245111224e-06,0.0014940046775673,0,0,3.137837293596456,39.23245344486712,FOXC1;HDAC1;STMN2;HSPB1;IQGAP1;ZFP36L2;EGFR;RELA;ZFP36L1;RAP1A;HYAL2;KDR;CPNE3;SOX5;SMAD4;TGFB1;SMAD9;KLF4;TGFBR1;TGFBR2;SLC4A7;NELL1;MT1G;GAS1;BMPR1A
GO_Biological_Process_2023,Regulation Of Cell Population Proliferation (GO:0042127),75/766,8.269682701185738e-06,0.0029927981695591,0,0,1.7962304710194683,21.021131475755105,CDKN1A;VIPR1;BTG1;CHRM1;HP1BP3;TCIRG1;FGF2;CX3CL1;TIAL1;HMGN5;ADORA3;KDR;CYP1B1;SPEG;ITGAV;JAK2;ADAMTS8;ARID2;PDGFRB;KLF10;EDN1;CNOT6L;TESC;LIFR;CCDC117;SIRT1;POU3F2;POU3F3;TGFBR1;TGFBR2;KAT2B;AZGP1;SFRP2;CCKBR;HCLS1;MVD;ARHGEF2;NUPR1;SGK1;KANK2;YAP1;CSF1R;HDAC1;TOB2;DLL1;TOB1;EGFR;RELA;ZFP36L1;NUAK1;PAK1;RPS15A;FRZB;NACC2;TP53INP1;SMYD2;BRD9;HES1;S100A11;WWTR1;CGREF1;TGFB2;CDKN2C;TGFB1;IGF2;FABP3;RGCC;BCL6;DLG3;SST;BAMBI;BCL2;HSPA1B;HSPA1A;BMPR1A
