,gini,rf_imp,mean_log2FC,gini_n,rf_imp_n,score
ENSG00000106809.6,0.43729782639319914,0.0011826156299840512,3.6842965817949866,0.9999999975739263,0.04026362538403241,0.5201318114789794
ENSG00000158186.8,0.031165692338460338,0.029371810870002353,0.6711342221418417,0.014693526862208617,0.9999999659537517,0.5073467464079802
ENSG00000163220.10,0.4121149472740312,0.0,2.2890834153455732,0.938904477996244,0.0,0.469452238998122
ENSG00000241781.2,0.34054981376489957,0.004358371153581334,-2.208938559270107,0.7652821930026821,0.14838618648625387,0.456834189744468
ENSG00000164707.10,0.32286679658407114,0.0037417624746625727,2.5079118706142496,0.722381890886651,0.12739297429873783,0.4248874325926944
ENSG00000177575.8,0.3609995963824988,0.0006984126984126985,2.126784031012573,0.8148948718532868,0.0237783321472923,0.41933660200028955
ENSG00000184557.3,0.30492619245593683,0.0025447273578471136,1.630944134564431,0.6788566638639956,0.08663841948565872,0.38274754167482716
ENSG00000155659.9,0.31361892538213887,0.0,1.8417706839735002,0.699945874202622,0.0,0.349972937101311
ENSG00000096060.10,0.12599399451783752,0.01284984807746956,1.513283609263447,0.24475397248888536,0.43748911828599873,0.34112154538744205
ENSG00000133800.4,0.25530503027967494,0.0027231121281464533,1.8145529378882068,0.5584720695981384,0.09271175166853046,0.3255919106333345
ENSG00000090104.7,0.25827532887989874,0.00237037037037037,2.1649702045934767,0.5656782327784003,0.0807022181968708,0.3231902254876356
ENSG00000173372.12,0.2133789484268863,0.005238095238095239,1.3476127001670533,0.45675630697499675,0.17833749110469224,0.3175468990398445
ENSG00000197579.3,0.04688048796678485,0.01707979874364092,0.5382685449915284,0.05281877852331807,0.5815030689708538,0.31716092374708593
ENSG00000096696.9,0.2668274923189994,0.0011520433089060541,2.74378066378015,0.5864264111877313,0.03922275254944842,0.31282458186858986
ENSG00000255248.2,0.034640498153095604,0.01744955810493352,0.4751719975629373,0.023123661703903696,0.5940919879973384,0.30860782485062105
ENSG00000167244.12,0.2680910689871561,0.0006031746031746032,2.22736499718455,0.5894919412528983,0.020535832309025167,0.3050138867809617
ENSG00000138772.8,0.11163915328027273,0.011546204863672763,1.1828068960235398,0.20992807034663905,0.39310495773211,0.3015165140393745
ENSG00000080546.9,0.03338667661641407,0.016023772200740107,0.5346215435239356,0.020081798306205847,0.5455493270779561,0.28281556269208097
ENSG00000124491.11,0.23316399185698528,0.0008928571428571428,1.65509079710911,0.5047562795956351,0.030398435983754357,0.2675773577896947
ENSG00000160862.8,0.23850474644740374,0.0,1.5799655750596433,0.5177133436030681,0.0,0.25885667180153404
ENSG00000198157.6,0.07629658695224428,0.01124159104249893,0.7523786528635233,0.12418440129268776,0.38273399994026414,0.253459200616476
ENSG00000180353.6,0.18675325570604134,0.003329875159940519,1.25686027232053,0.39216041532980495,0.11336975650934715,0.252765085919576
ENSG00000196126.6,0.14768785022462627,0.005789283330002135,1.1888276699689568,0.2973848642855545,0.1971033777427525,0.2472441210141535
ENSG00000179178.6,0.19344531007340066,0.0025185257837012096,-1.1495073394475934,0.40839583212552455,0.08574635418638911,0.24707109315595682
ENSG00000166426.7,0.21753824521299456,0.000634920634920635,2.15486923747488,0.4668470673293857,0.021616665588447548,0.24423186645891662
ENSG00000198624.8,0.0748773623821978,0.01053188334326241,0.5792981096751384,0.12074125795335432,0.3585711153903549,0.23965618667185462
ENSG00000163191.5,0.1910947102366028,0.002193732193732194,1.0801875367085507,0.40269310378899087,0.0746883509754694,0.23869072738223013
ENSG00000115194.6,0.07189427683772555,0.010530192846680032,-1.06189358988241,0.11350407270452852,0.3585135603239579,0.2360088165142432
ENSG00000127951.5,0.21270613778843062,0.00015371102327624072,1.6965870227237734,0.45512401881051306,0.005233283665187401,0.23017865123785022
ENSG00000186298.7,0.03362893483234805,0.012891843746353743,0.5328987593591313,0.02066953458149072,0.43891891325642995,0.22979422391896034
ENSG00000141646.9,0.040586743319743296,0.012171670886134682,0.52692148283452,0.037549690446427635,0.4143997292371908,0.22597470984180923
ENSG00000186212.2,0.21117457176599,0.0,-1.1883257980209134,0.45140832683320803,0.0,0.22570416341660401
ENSG00000180447.5,0.1761918540152063,0.0024444444444444444,1.7180584655334432,0.3665376769321511,0.08322416251552303,0.22488091972383706
ENSG00000142494.9,0.19467280270780227,0.0007898635477582847,1.8838498065692832,0.41137381966704684,0.02689189047152308,0.21913285506928495
ENSG00000134294.9,0.06595431871663467,0.009723697952934728,1.2334367443281236,0.09909329679759514,0.33105543491736755,0.21507436585748135
ENSG00000102362.11,0.1998413832392416,0.0,1.7927742455974134,0.4239131767259872,0.0,0.2119565883629936
ENSG00000112378.10,0.1265796421152934,0.004877682421542071,1.0920106191622934,0.24617479669594572,0.16606678686117024,0.20612079177855797
ENSG00000125772.8,0.08321775944367009,0.007856029700987026,-1.0924732289749899,0.14097567553299364,0.2674683378661582,0.2042220066995759
ENSG00000124762.8,0.16279355283691704,0.00215746132247913,0.9466779710138917,0.3340324114272711,0.0734534638866648,0.20374293765696794
ENSG00000185022.7,0.15610030275796064,0.0024444444444444444,1.2826853471232702,0.3177940937471473,0.08322416251552303,0.20050912813133515
ENSG00000136167.9,0.18681462417823588,0.0,1.27268849598307,0.39230929976341844,0.0,0.19615464988170922
ENSG00000124440.11,0.13830288154199175,0.0032869352869352867,1.4544723852142767,0.2746162390154834,0.11190781493096304,0.1932620269732232
ENSG00000116962.10,0.1834878190222987,0.0,1.3914403599048866,0.3842382254206524,0.0,0.1921191127103262
ENSG00000164692.13,0.18317359100048747,0.0,1.799445191933377,0.383475885095403,0.0,0.1917379425477015
ENSG00000125733.13,0.14724371423174093,0.0024561403508771926,1.1745168751051098,0.29630735765416116,0.08362236425004706,0.1899648609521041
ENSG00000142583.13,0.15941583505602783,0.0015230621868552903,0.9587391908611383,0.325837819306423,0.05185455339276515,0.1888461863495941
ENSG00000189266.7,0.02811312516611539,0.010858011871127005,0.44922267435612734,0.007287774066523003,0.369674568228335,0.188481171147429
ENSG00000145423.4,0.1670625850485211,0.0007872454560294846,1.31374233167612,0.34438939800643026,0.026802754270447447,0.18559607613843884
